objectid,date,title,meeting_type,document_type,location,format
08-18-20-zoning_board_of_appeals_meeting-agenda,08/18/20,Zoning Board of Appeals Meeting - 08/18/20,Zoning Board of Appeals Meeting,Agenda PDF,Via Video-Conference,application/pdf
08-18-20-zoning_board_of_appeals_meeting-minutes,08/18/20,Zoning Board of Appeals Meeting - 08/18/20,Zoning Board of Appeals Meeting,Minutes PDF,Via Video-Conference,application/pdf
08-11-20-planning_board_meeting-agenda,08/11/20,Planning Board Meeting - 08/11/20,Planning Board Meeting,Agenda PDF,Via Video-Conference,application/pdf
08-11-20-planning_board_meeting-minutes,08/11/20,Planning Board Meeting - 08/11/20,Planning Board Meeting,Minutes PDF,Via Video-Conference,application/pdf
07-21-20-zoning_board_of_appeals_meeting-agenda,07/21/20,Zoning Board of Appeals Meeting - 07/21/20,Zoning Board of Appeals Meeting,Agenda PDF,Via Video-Conference,application/pdf
07-21-20-zoning_board_of_appeals_meeting-minutes,07/21/20,Zoning Board of Appeals Meeting - 07/21/20,Zoning Board of Appeals Meeting,Minutes PDF,Via Video-Conference,application/pdf
07-14-20-planning_board_meeting-agenda,07/14/20,Planning Board Meeting - 07/14/20,Planning Board Meeting,Agenda PDF,Via Video-Conference,application/pdf
07-14-20-planning_board_meeting-minutes,07/14/20,Planning Board Meeting - 07/14/20,Planning Board Meeting,Minutes PDF,Via Video-Conference,application/pdf
06-29-20-city_council_workshop-agenda,06/29/20,City Council Workshop - 06/29/20,City Council Workshop,Agenda PDF,Via Video Conference,application/pdf
06-20-20-city_council_workshop-agenda,06/20/20,City Council Workshop - 06/20/20,City Council Workshop,Agenda PDF,Video Conference,application/pdf
06-15-20-city_council_meeting-agenda,06/15/20,City Council Meeting - 06/15/20,City Council Meeting,Agenda PDF,Video Conference,application/pdf
06-15-20-city_council_meeting-minutes,06/15/20,City Council Meeting - 06/15/20,City Council Meeting,Minutes PDF,Video Conference,application/pdf
06-09-20-planning_board_meeting-agenda,06/09/20,Planning Board Meeting - 06/09/20,Planning Board Meeting,Agenda PDF,Via Video-Conference,application/pdf
06-09-20-planning_board_meeting-minutes,06/09/20,Planning Board Meeting - 06/09/20,Planning Board Meeting,Minutes PDF,Via Video-Conference,application/pdf
06-08-20-city_council_workshop-agenda,06/08/20,City Council Workshop - 06/08/20,City Council Workshop,Agenda PDF,Video Conference,application/pdf
06-01-20-city_council_meeting-agenda,06/01/20,City Council Meeting - 06/01/20,City Council Meeting,Agenda PDF,Video Conference,application/pdf
06-01-20-city_council_meeting-minutes,06/01/20,City Council Meeting - 06/01/20,City Council Meeting,Minutes PDF,Video Conference,application/pdf
05-26-20-city_council_workshop-agenda,05/26/20,City Council Workshop - 05/26/20,City Council Workshop,Agenda PDF,Video Conference,application/pdf
